# Seed book catalogue — pipe-separated values
# Format: title|author|published_year|isbn|description
# Lines starting with # are ignored. Blank lines are ignored.

# ---------------------------------------------------------------------------
# Discworld — Terry Pratchett
# ---------------------------------------------------------------------------
The Colour of Magic|Terry Pratchett|1983|9780062225672|Rincewind, the Disc's worst wizard, is press-ganged into guiding the naively optimistic tourist Twoflower across a world balanced on four elephants atop a giant turtle.
The Light Fantastic|Terry Pratchett|1986|9780062225689|A deadly red star approaches the Disc and only a single spell locked inside Rincewind's head can save it, if he can survive long enough to use it.
Equal Rites|Terry Pratchett|1987|9780062225696|A dying wizard accidentally bequeaths his staff and powers to a girl, who must fight the entrenched prejudice of Unseen University to be admitted as a wizard.
Mort|Terry Pratchett|1987|9780552131063|Death takes on an apprentice named Mort, who makes the critical mistake of falling in love and deciding to override fate by refusing to let someone die.
Sourcery|Terry Pratchett|1988|9780552131537|The eighth son of an eighth son of a wizard is a sourcerer of terrifying raw power, threatening to return the Disc to the dangerous age of magic.
Wyrd Sisters|Terry Pratchett|1988|9780552134606|Three witches in the kingdom of Lancre become entangled in a royal succession crisis, a murdered king, a stolen crown, and a theatre troupe with an inconvenient play.
Pyramids|Terry Pratchett|1989|9780552134613|A young Assassin's Guild graduate unexpectedly inherits the ancient kingdom of Djelibeybi and must contend with its all-consuming obsession with pyramids and the dead.
Guards! Guards!|Terry Pratchett|1989|9780552134637|The threadbare Night Watch of Ankh-Morpork faces a full-grown dragon summoned by a secret brotherhood, led by a new recruit who believes in truth and justice.
Eric|Terry Pratchett|1990|9780575046061|The Disc's only demonologist attempts to summon a demon to grant three wishes and instead gets Rincewind, resulting in chaos across time, space, and the Dungeon Dimensions.
Moving Pictures|Terry Pratchett|1990|9780552134645|Holy Wood hill begins producing moving pictures with an eerie compulsion that draws people from across the Disc into a silver-screen fantasy with a dark purpose.
Reaper Man|Terry Pratchett|1991|9780552134651|Death is issued a retirement notice and must live as a mortal farm hand, while the Disc, denied death, begins to suffer from an accumulation of unspent life force.
Witches Abroad|Terry Pratchett|1991|9780552134668|Granny Weatherwax and the Lancre witches travel to the distant city of Genua to prevent a fairy godmother from forcing a happy ending on a young woman who doesn't want one.
Small Gods|Terry Pratchett|1992|9780552138901|The great god Om finds himself trapped in the body of a small tortoise with only one true believer left — a simple novice named Brutha — as the Omnian Inquisition wages holy war.
Lords and Ladies|Terry Pratchett|1992|9780552140065|The elves — beautiful, cold, and utterly without mercy — attempt to force their way back into the Disc through a gap in reality near Lancre, and only the witches stand in their way.
Men at Arms|Terry Pratchett|1993|9780552140904|The Night Watch investigates a series of murders connected to a new and terrible weapon called a gonne, as Ankh-Morpork's new diversity initiative complicates policing.
Soul Music|Terry Pratchett|1994|9780552140911|Music with rocks in arrives in Ankh-Morpork with a life of its own, and Death's adopted granddaughter Susan must understand what it truly means for something to die.
Interesting Times|Terry Pratchett|1994|9780552142359|Rincewind is magically transported to the Agatean Empire, where revolution is stirring and a prophecy about the Great Wizzard is about to cause enormous diplomatic problems.
Maskerade|Terry Pratchett|1995|9780552142373|Agnes Nitt joins the Ankh-Morpork Opera House and discovers it is haunted, while Granny Weatherwax and Nanny Ogg investigate from Lancre with a cookbook as cover.
Feet of Clay|Terry Pratchett|1996|9780552142380|Commander Vimes investigates a series of murders and a plot to poison Lord Vetinari, uncovering questions about free will and identity among the city's golem population.
Hogfather|Terry Pratchett|1996|9780552142397|The Hogfather — the Disc's equivalent of Father Christmas — has gone missing, and Death must take his place while his granddaughter Susan hunts down what stole him.
Jingo|Terry Pratchett|1997|9780552145428|Ankh-Morpork stumbles toward a pointless war over a tiny island, and Commander Vimes must navigate politics, patriotism, and a device that lets him see two futures at once.
